epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.562,1.41056,1.96119,1.4125,0.7111,0.46749,0.60133,0.36708,1.28398,1.95041,1.32764,0.0693611,0.00266426,0.00266426
2,560.745,1.23202,1.1737,1.30453,0.70676,0.72804,0.78568,0.55335,0.96762,1.55625,1.12683,0.0381666,0.00480316,0.00480316
3,833.52,1.08827,0.92202,1.20924,0.91534,0.85669,0.92421,0.67116,0.90215,0.70907,1.0803,0.0064442,0.00641407,0.00641407
4,1105.66,1.00049,0.78079,1.14769,0.90836,0.86364,0.92603,0.71733,0.81244,0.6231,1.03609,0.005624,0.005624,0.005624
5,1376.87,0.91466,0.662,1.09534,0.94246,0.92364,0.96612,0.76277,0.71064,0.47732,0.97478,0.004832,0.004832,0.004832
6,1649.8,0.85593,0.59459,1.05945,0.9712,0.92646,0.97617,0.78946,0.67137,0.4315,0.95535,0.00404,0.00404,0.00404
7,1923.82,0.79022,0.51031,1.02042,0.97599,0.93103,0.97515,0.79548,0.66606,0.42953,0.94433,0.003248,0.003248,0.003248
8,2194.88,0.73513,0.46777,0.99805,0.9786,0.95669,0.98169,0.82351,0.59294,0.35128,0.91365,0.002456,0.002456,0.002456
9,2465.01,0.67539,0.40919,0.96697,0.98487,0.96971,0.98752,0.85353,0.524,0.30434,0.88512,0.001664,0.001664,0.001664
10,2735.43,0.62196,0.36769,0.93924,0.98801,0.97009,0.98814,0.86528,0.49019,0.27511,0.86982,0.000872,0.000872,0.000872
